Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Hermoso por dentro y por fuera,"El edificio es excepcional desde el exterior ... situado al lado de un parque y con sus propios jardines cuidados en el frente, hará que las fotos sean encantadoras para recordar su visita. El interior es art déco en diseño y es igualmente impresionante. Parece tener espacios para exhibiciones, pero había una tarifa... hay una pequeña exhibición GRATIS justo cuando entras a la derecha... que valió la pena echar un vistazo... No está lejos de la plaza principal y la catedral.",,5,"Sídney, Australia",25 de febrero de 2025,feb de 2025
Debo ver,Qué lugar tan fabuloso. Hay mucho que me gusta del lugar. Desde la ‘cortina’ Tiffany hasta la cúpula y el buen rastrillo en los asientos.,,5,"Londres, UK",23 de febrero de 2025,feb de 2025
Arquitectura asombrosa.,"¡Hermosa arquitectura con un hermoso parque cercano! Además, hay muchos vendedores ambulantes en la zona. Una visita obligada en el centro de la Ciudad de México.",,5,"Phoenix, AZ",21 de febrero de 2025,feb de 2025
¡Alucinante!,"IT es una parada OBLIGADA para cualquier amante del arte, cuando visite la Ciudad de México. Excelente colección de Riveira y Sikeiros. Y todo eso en un hermoso espacio.",,5,,16 de febrero de 2025,feb de 2025
Sensacional,"El hecho de que haya guías y te expliquen los murales, lo hace sorpréndete te ya que nos ayuda a entender o interpretarlas de una manera más fácil.",,5,"Ciudad de México, México",15 de febrero de 2025,feb de 2025
Hermoso,"Se ve hermoso de noche, y ese parque es una fiesta en cada esquina, sonideros y al gente bailando, recomiendo no saltarse esa actividad",,5,,12 de febrero de 2025,feb de 2025
Sitio histórico,"Es un lugar lleno de historia, tanto en las afueras como en su interior. Los domingos la entrada es gratuita y hacen recorridos guiados muy interesantes donde hablan de la historia de los murales. También se presenta el ballet folklórico, un evento para conocer más de la música, danza y cultura mexicana.",,4,,9 de febrero de 2025,ene de 2025
Fachada increíblemente hermosa,"Diseñado por Adamo Boari en 1904 y terminado después de un paréntesis en 1932 por el arquitecto mexicano Federico Mariscal, este es uno de los edificios más hermosos de México. Pequeños pero elegantes jardines conducen el ojo, el pie y la persona inevitablemente a una fachada enormemente impresionante. Un edificio del que estar orgulloso.",,4,"Norwich, UK",30 de enero de 2025,ene de 2025
Muy bonito,"“Es una visita obligatoria si estás en la Ciudad de México, ya que destaca por su belleza en cada rincón. Cada detalle, desde su arquitectura hasta sus alrededores, ofrece una experiencia visual impresionante que no te puedes perder.”",,4,"Bogotá, Colombia",14 de enero de 2025,ene de 2025
Muy asequible. Lo recomiendo.,"Aunque no he viajado por Europa, África y Asia, sí he estado en algunos museos en mi juventud y tengo que decir que este es uno de los mejores. Para ser sincera, no pensé que fuera a ser tan maravilloso, tan accesible y tan acogedor.",,5,,13 de enero de 2025,ene de 2025
Disfruta del audio tour de los murales,"Gran manera de ver a los muralistas, hermosa arquitectura y arte impresionante. El show de Angela Gurria fue tremendo. Consejo importante: pida a un guía de habla inglesa el código QR para una grabación de audio guiada en inglés que describa los murales. Gratis y mejora totalmente la visualización y apreciación de los murales. Otro viaje es tomar un descanso a mitad de visita y tomar una cerveza o café o aperitivo en el encantador café.",,5,"Washington DC, Distrito de Columbia",8 de enero de 2025,ene de 2025
¡Una pérdida de tiempo!,"¡Me alegro de no tener que pagar para entrar en este absolutamente aburrido museo de arte! No tenía obras de arte significativas y aparte de que el edificio real era hermoso, eso es todo! Hazte un favor y consigue un Uber para el Museo GRATUITO Soumaya, que tiene muchas obras de arte de artistas conocidos como Renoir, Van Gogh, Pissarro y esculturas de Rodan.",,1,,30 de diciembre de 2024,dic de 2024
Hermoso edificio y murales,"Lo visité en un domingo libre de lo contrario no habría podido encajar esto en mi viaje. Estaba ocupado como se esperaba, así que mi consejo es, evitar el día libre si puedes permitírtelo. El detalle interior art déco es maravilloso, como siempre el exterior y sus características. Los murales son enormes y me encantó llevarlos a diferentes niveles. Vi arte interesante en las pequeñas salas de exposición. Me encantó el modelo en sección 3D y los dibujos técnicos en la planta superior. Lamentablemente no pude ver la sala de teatro y mi intento de comprar entradas para el ballet no se alineó en cuanto a fechas. Cafetería y librería / recuerdos en el sitio.  1 . 5 horas felizmente pasado aquí. Entré en Sears para tener una vista desde el otro lado de la calle y tomar un bocado en el café del 6o piso, pero la cola era demasiado larga, así que abandoné esa idea.",,5,Estados Unidos,29 de diciembre de 2024,dic de 2024
Murales,"Muchos murales y obras de arte de varios artistas mexicanos, incluido Diego Rivera, se muestran en 3 plantas. También exposiciones temporales de otros artistas de otras formas de arte (vidrio, etc). El famoso mural de Diego Rivera ""El hombre en la encrucijada"" es bastante fresco de ver. El edificio en sí es muy magnífico de ver en sí mismo. Museo es de visita gratuita los domingos, de lo contrario es de $ 95 Pesos Mexicanos.",,5,"Wellington, Nueva Zelanda",24 de diciembre de 2024,dic de 2024
"Había anticipado ver mucho arte nacional, pero me decepcionó.","La estructura es una maravilla en sí misma. Aunque la entrada es gratuita, no hay mucho que ver aparte de los murales del segundo piso;",,4,,17 de diciembre de 2024,dic de 2024
"Ballet folclórico de Amalia Hernandez vale la pena, a pesar del personal grosero","Fuimos a ver el ballet folclórico de Amalia Hernandez. Excelente espectáculo y el teatro muy bello en su arquitectura y diseño. Mucho desorden para el ingreso pues los ""ujieres"" no saben nada y te manda de allá para acá.  Llegamos tipo 5 y 10 con boletos electrónicos para no hacer filas y la entrada era a las 5:30 pm. No hay baños disponibles a menos que tengas un boleto y no te dejan pasar hasta pasadas las 5:30. Igual tuvimos que hacer fila para ingresar a la sala, de pie junto con personas mayores y sin sitio para sentarse. A pesar de haber revisado nuestros boletos nos mandaron al área equivocada. El personal de muy mal talante y malhumorado. Eso disminuye el disfrute de un espectáculo de primera. Vayan preparados y con paciencia si tienen que ir al baño. El tránsito para llegar simplemente imposible. Mejor llegar en metro.",,4,,8 de diciembre de 2024,dic de 2024
Visita obligada si vas a CDMX,"Un imperdible en la Ciudad de México. Desde la arquitectura, los detalles de la iluminación, los techos, columnas, todo el edificio en si mismo hasta los murales expuestos. Una maravilla!",,5,"Buenos Aires, Argentina",7 de diciembre de 2024,oct de 2024
"Palacio de Bellas Artes, Ciudad de México en octubre","Vea la cortina de mosaico de Tiffany haciendo el recorrido libre dentro del teatro. No sabíamos nada al respecto, solo entramos a echar un vistazo y vimos larga cola y preguntamos para qué servía. Afortunadamente esa era la cola de habla hispana y la servicial señora aconsejó que la inglesa empezaba pronto y era solo un puñado de personas. Creo que está dirigido por estudiantes, su inglés era bueno e hicieron un buen trabajo explicando la historia. Al final dieron una demostración de la enorme cortina que se levanta. Hay una cafetería y una tienda de regalos aquí.",,5,"Kent, UK",23 de octubre de 2024,oct de 2024
De visita por CDMX,"Una arquitectura llamativa en especial de noche donde se aprecia cada línea, céntrica y un buen ambiente animador, excelente",,5,"Ciudad de Panamá, Panamá",21 de octubre de 2024,oct de 2024
Hermoso art déco,"Claramente uno de los hitos de la Ciudad de México, destacada arquitectura del Art Déco con clara influencia del arte indígena.",,5,"Vilna, Lituania",9 de octubre de 2024,oct de 2024
Bellas Artes son exageradas en el buen sentido,Vine por los murales de Diego Rivera y descubrí mucho más. La artesanía del edificio en sí es impresionante. Tuve la suerte de encontrarme con un Guía en inglés que me ayudó a apreciar el trabajo de Diego y otros. También hubo una exposición de escultura y Opinión del edificio sobre el 90 cumpleaños. Tuve una excelente sopa en el café. Gratis para mayores de 60 años.,,5,,5 de octubre de 2024,oct de 2024
Me encantó,Recomiendo encarecidamente el palacio de bellas artes. es un hermoso museo con mucha obra de arte de los artistas famosos en mexico. debes ver,,4,,12 de septiembre de 2024,sept de 2024
Guaau precioso lugar,"Un imperdible si vas a la ciudad de mexico. El edificio es precioso y mas lindo en persona que en fotografías, lastima que es un lugar muy con urrido y es dificil fotografiarlo.",,5,"Playa del Carmen, México",2 de septiembre de 2024,ago de 2024
Palacio de Bellas Artes ,"El Palacio de Bellas Artes es un recinto arquitectónico de estilo Art Deco realizado por Adamo Boari en la primera mitad del  Siglo XX, en su interior hallarás una serie de Murales de los mejores artistas tales como David Alfaro Sequeiros, Jose Clemente Orozco y Diego Rivera (entre otros)",,5,"Ciudad de México, México",23 de agosto de 2024,ago de 2024
Cruza la calle dentro de dentro,Ahorre sus pesos y pasar a sears - hay una cafetería en el nivel 8 que tiene una gran vista. El edificio en sí es hermoso y el piso de la fragata de arte es murales - es agradable. Cuanto más alto te golpean por otros 65 pesos cada uno y son solo fotos de instalaciones artísticas en otras partes del mundo. El tercer piso no vale tu tiempo.,,2,"Mobile, AL",5 de agosto de 2024,ago de 2024
Precioso!,"El palacio es hermoso, solamente debería de haber más vigilancia en la zona, puesto a que se ve mucha delincuencia alrededor.",,5,,22 de julio de 2024,jul de 2024
Arte y vistas hermosas,Conocer por fin este recinto de cultura sin duda fue de lo mejor en mi visita por México. Les recomiendo que entren por toda el arte que hay,,5,,18 de julio de 2024,feb de 2024
Un Palacio de Ensueño dentro de la Ciudad de México,"La construcción del Palacio de Bellas Artes se inició en 1904, bajo la dirección del arquitecto italiano Adamo Boari, pero fue interrumpida por la Revolución Mexicana y otros contratiempos. La obra finalmente se completó en 1934, con la ayuda del arquitecto mexicano Federico Mariscal.El edificio es un impresionante ejemplo de estilo ecléctico que combina elementos Art Nouveau y Art Déco. La fachada de mármol blanco está adornada con esculturas y detalles decorativos, mientras que el interior presenta murales de famosos artistas mexicanos como Diego Rivera, David Alfaro Siqueiros y José Clemente Orozco.Estuve en el Palacio para ver un espectáculo de ballet folclórico y quedé impresionado por la perfecta acústica además de la hermosa arquitectura. Definitivamente un lugar para ser visitado.",,5,"São Paulo, SP",14 de julio de 2024,jul de 2024
Bonito,"Qué lindo es el palacio de Bellas Artes, uno de los lugares más bonitos de toda la Ciudad de México, vengan que no se arrepentirán.",,5,,11 de julio de 2024,jun de 2024
Lindo,Lindo y staff muy amable. Hay mucha historia que aprender. Recomiendo hacer al menos una parte con guía asi no te pierdes nada.,,5,,4 de julio de 2024,jun de 2024
Debes visitarlo,"Me encanta visitar el Palacio de Bellas Artes, lo único que puede ser molesto es que siempre está muy concurrido, pero eso es debido al valor histórico que tiene. Sin embargo, entre semana, si te puedes dar una escapada, sería lo ideal",,5,,26 de junio de 2024,may de 2024
Hermosos murales.,"Un palacio muy bonito, y en cual puedes encontrar grandes cosas, lo mejor de todo es que dentro hay unos murales muy hermosos.",,5,,25 de junio de 2024,ago de 2023
Arte e historia,"Ame este recinto artistico. Desde hace años quería visitarlo y por fin lo pude hacer. Si van, lleven tiempo y dinero porque quieres comprar de todo y vivir por igual.",,5,,20 de junio de 2024,mar de 2024
Recomiendo,"Bellísimo, es un lugar bonito, las actividades culturales son muy bien organizadas Vale la pena verlo varias veces en un año",,5,"Benito Juárez, México",17 de junio de 2024,may de 2024
"Personas por todos lados, tráfico sin fin. Igual, lugar obligado en CDMX","Monumento emblema de ciudad de México.Hermoso, su arquitectura, su construcción, su estila, sus materiales.Caminar es lo mejor por esos lugares, aunque se recomienda cuidado",,4,"Guayaquil, Ecuador",14 de junio de 2024,jul de 2023
Bello lugar,"El lugar está muy bonito y céntrico, en mi caso no pude entrar porque había cola por un grupo de estudiantes que estaban para entrar, pero igual desde fase puede ver y pueden hacerse fotos bien bonitas porque el lugar está precioso",,5,"Villa Clara Province, Cuba",10 de junio de 2024,jun de 2024
Bellas Artes es un lugar hermoso,Siempre quise conocer Bellas Artes por su trasfondo y que belleza. Espero poder conocer más del país y de lugares como estes. Espero poder conocer más lugares como estos,,5,,7 de junio de 2024,mar de 2024
paseo,"Uno de mis lugares favoritos por la vista, uno puede ir a cualquier terracita, beberse unos drinks y disfrutar del paisaje, la verdad es que es una de las zonas más icónicas de la ciudad, además puedes entrar a una obra saliendo de comer o solo quedarte a escuchar música. De mis favs para un domingo familiar!!",,5,,30 de mayo de 2024,ene de 2024
Hermosa arquitectura,"La arquitectura del lugar es hermosa, cada lugar tiene detalles asombrosos que te dejan impactado tanto adentro como afuera.Las exposiciones que se presentan son temporales, cada cierto tiempo cambian por lo que no podría emitir una opinión al respecto.",,5,"Zona Metropolitana de Guadalajara, México",29 de mayo de 2024,jun de 2023
Hermosa visita obligada!,Hermoso edificio. Interesante programación cultural. Cerrado los lunes excepto el vestíbulo. Compruebe las horas actuales antes de llegar. Incluso el lunes el vestíbulo está abierto para la vista arquitectónica. Bonita zona de parque adyacente para sentarse y la gente mirando.,,5,,28 de mayo de 2024,may de 2024
Hagan la visita guiada!!,"Lugar fundamental de CDMX, recomiendo ir a la visita guiada. Es gratis pero solo para las primeras 40 personas que lleguen. Se hace los viernes, y no recuerdo si tambien los martes. Se hacen a las 13 hs, recomiendo estar alli (como tarde) a las 12:15 y formarse en la cola para agendarse. La visita toma maso o menos 1 hora y media. Cuando termina se pueden quedar a visitar las muestras de arte que hay. Tienen un mural de Diego Rivera y varios de otros pintores.",,5,"Montevideo, Uruguay",27 de mayo de 2024,may de 2024
Bellas Artes es una joya,"Los eventos en Bellas Artes es otra experiencia, cuando visito la ciudad de México siempre busco algún evento.Acabamos de estar en el concierto de la Orquesta Filarmónica de la ciudad de México, hermoso.",,5,"Chihuahua, México",23 de mayo de 2024,may de 2024
"Hermosa arquitectura, el ambiente ha visto mejores colores",Un lugar hermoso y digno de admirara aunque con la contaminación de la bendita CDMX se pierde mucho la magia de los atardeceres y luce muy gris… Luego os comparto fotos desde una terraza en la Torre latina que tomé cuando andaba de camarógrafo hace un par de años.,,4,"Bilbao, España",23 de mayo de 2024,may de 2024
"Impresionante edificio, bien conservado, la colección podría ser más grande ","El Palacio de Bellas Artes es una parada que no se puede saltar en CDMX. También está en el corazón de la ciudad, así que es difícil de perder. El exterior del edificio es genial, con énfasis en los detalles. Una vez que entras también te impresionas mirando las decoraciones de mármol y las paredes. El personal es amable y el Palacio es bastante fácil de explorar por su cuenta. La única desventaja es que no es muy rico cuando se trata de su colección de obras de arte, algo que probablemente esperarías de un museo como este. En general, no debe tomar más de 1 hora para ver todo.",,4,"Atenas, Grecia",19 de mayo de 2024,feb de 2024
Un lugar de arte,Conocer más de México a través del palacio de Bellas Artes fue lo mejor. Quien iba a decir que ahí se presentó Juan Gabriel.,,5,,15 de mayo de 2024,feb de 2024
Arquitectura impactante!,"Bello, arquitectura impecable y muy organizado! Lo único que no me gusto, fue un cartel en el ingreso del sindicato de trabajadores, eso le resta presencia al bello lugar!!!",,4,"Bogotá, Colombia",12 de mayo de 2024,may de 2024
Muy impresionante,"Viajé a México y siempre quise visitar el Palacio de Bella Artes... ¡Quedé asombrado! Muy bello lugar, lleno de arte e historia. Recomiendo visitarlo si tienen la oportunidad.",,4,,7 de mayo de 2024,may de 2024
Magnífico lugar con reglas degradantes,"Sin duda el edificio es magnífico y el Ballet de Folklorico encantador. Es imperdible. Pero tengo que decir que nos encontramos con varios empleados que eran francamente abrasivos. La más desagradable de todas fue la mujer en la ventanilla de Ticketmaster que nos sermoneó innecesariamente sobre sus políticas cuando llegamos temprano para recuperar nuestros boletos prepagados. Habíamos comprado entradas mucho antes de la actuación a través de Ticketmaster y pagado sus altas tarifas para que nos garantizaran asientos, pero esta mujer obviamente olvidó de dónde venía su salario. No BIENVENIDOS! o GRACIAS! ¡Pero lo peor de todo fue la extraña política de la instalación de no permitir que la gente use sus baños! Vimos padres con niños pequeños que fueron rechazados, así como otros titulares de boletos. Cuando la actuación terminó, nos escoltaron bruscamente por una puerta lateral y no se nos permitió usar los baños antes de salir. Era cuando menos raro. ¡Prepárate, si entiendes lo que quiero decir!",,4,"South Kingstown, RI",30 de abril de 2024,abr de 2024
Increíble experiencia cultural y música,Nos encantó el ballet. Recomiendo encarecidamente comprar entradas en taquillas ubicadas en su interior. (Lunes - Sábado 11 - 7 pm y Domingo 8 : 30 - 7 pm). Otros proveedores tienen tarifas excesivas,,5,,28 de abril de 2024,abr de 2024
No te lo pierdas.  Reserve un espectáculo de ballet el mismo día.,"No es solo el edificio exterior lo que es impresionante, es el interior y lo que contiene. Los murales de artistas mexicanos más famosos. Es un museo por sí mismo, todo en un solo lugar, solo para conocer las diferentes técnicas artísticas y talentos de los diferentes artistas conocidos. No te lo pierdas.",,5,Estados Unidos,25 de abril de 2024,abr de 2024
Lugar histórico digno de visitar,"Hermoso y tipo de ambiente mágico, vale la pena visitar. Zona segura, muy limpia y te trae de vuelta a la historia. Visita obligada a la Ciudad de México",,5,,24 de abril de 2024,abr de 2024
Al estilo francés,"Este lugar parece de otro mundo. Como sé de arquitectura, sin duda el barroco y el estilo francés se respira. Espero puedan ir porque es un lugar lindo.",,5,,16 de abril de 2024,feb de 2024
Una fantástica colección de museo y arquitectura,"Una colección pequeña pero absolutamente magnífica de murales, fotografías y esculturas. Pero, sobre todo, es el interior del edificio, no sólo la colección, lo que hace que sea una visita obligada, especialmente para los entusiastas del art déco y el art nouveau. Y si puedes, haz también el recorrido de 30 minutos por la sala de conciertos y maravíllate con la pantalla de cristal Louis Comfort Tiffany situada delante del escenario.",,5,"San Rafael, CA",11 de abril de 2024,abr de 2024
Buen lugar para ver algunos murales excelentes.,"Visitamos este museo para ver los murales de Diego Rivera y otros artistas mexicanos y disfrutamos mucho. Si usa los códigos QR en cada mural, puede obtener una explicación en audio de cada mural en inglés, lo que contribuyó a nuestro disfrute. También puede obtener algunos antecedentes escritos, pero el audio es más detallado y vale la pena escucharlo.",,5,"Moab, UT",10 de abril de 2024,abr de 2024
Emblemático,"El Palacio de Bellas Artes es uno delos edificios públicos más emblemáticos de la capital. Construido a inicios del siglo pasado, su carácter monumental y arquitectura le identifican. En el se desarrollan eventos culturales, artísticos y exequias de personajes importantes del medio artístico y cultural ejemplificando algunas de las celebridades:  Agustín Lara,  Mario Moreno Cantinflas, Octavio Paz, María Félix, Carlos Monsiváis, Chavela Vargas , Gabriel García Márquez etc.Disfruta del Palacio de Bellas Artes porque: ¡La VIDA...es un VIAJE!",,5,"Ciudad de México, México",6 de abril de 2024,may de 2023
Excelente recinto,"Parada obligatoria, ya sea para visitar los alrededores, el museo o asistir a un recital o concierto. Gran lugar súper recomendado.",,5,,3 de abril de 2024,mar de 2024
lugar realmente hermoso,"Precioso edificio por dentro y por fuera. Agregue los murales/arte. . . . ganador.Además, hay un parque muy concurrido justo al lado. Ideal para disfrutar de un picnic, observar a la gente pasar, mercado de libros, etc.",,5,bigwavejames,31 de marzo de 2024,mar de 2024
Café delicioso,"Este lugar es sorprendente, sin duda es el mejor lugar para conocer más de la historia mexicana. Si van, vayan a tomar un poco de café por ahí.",,4,,25 de marzo de 2024,ene de 2024
¡Amo este lugar!,"¡Qué hermoso lugar! ¡No pierdo la oportunidad de ir cuando visite la Ciudad de México! Durante la noche, la plaza cerca del palacio tenía vendedores y mucha gente paseando por allí. ¡Simplemente me encanta!",,5,"Oviedo, FL",23 de marzo de 2024,nov de 2023
Hermosa arquitectura,Un lugar increíble que visitar! Cuentan con diferentes exposiciones que de acuerdo al cronograma se pueden visitar. Es una parada obligada,,5,"Manizales, Colombia",21 de marzo de 2024,mar de 2024
Magnífico edificio,"Se trata de un edificio magnífico, que destaca en medio del ajetreo y el bullicio de las calles de MC. Está solo con una magnífica cúpula dorada. Dentro del vestíbulo (que algunas personas han dicho que parece un banco estadounidense) hay muchos detalles Art Deco en las paredes y escaleras. Puedes ver la mayoría de las partes interesantes desde el vestíbulo (al que la entrada es gratuita).",,4,"Devizes, UK",14 de marzo de 2024,mar de 2024
Diego Rivera ¡Y Mucho Más!,"Siempre quise ver la recreación que hizo Diego Rivera del mural que diseñó originalmente para el Rockefeller Center (una tienda loca; ¡búscala si no la conoces!), pero no tenía idea de todos los otros tesoros que encontraría aquí. ! El edificio es extraordinario y los murales, de los ""tres grandes"" y otros, hay que verlos para creerlos. El día que estuve allí también tuve la suerte de ver una increíble exposición de fotografías en el último piso. No dejes que las multitudes o las escaleras te intimiden: ¡este lugar es increíble y vale la pena visitarlo!",,5,"San Antonio, TX",6 de marzo de 2024,feb de 2024
"Palacio de Bellas Artes, Tour Virtual","Hacer un recorrido virtual por el icónico Palacio de Bellas Artes fue como entrar en un capítulo vibrante de la historia y la cultura mexicana, directamente desde mi computadora. Este gran palacio, ubicado en la Ciudad de México, fue construido durante un período que se extiende desde 1904 hasta 1934. A pesar de haber sido desafiado por la agitación de la Revolución Mexicana y varias dificultades financieras y técnicas, la determinación y la visión artística detrás de su creación dieron como resultado una obra maestra arquitectónica. Su diseño es una impresionante fusión de estilos Art Nouveau, Art Déco y Neoclásico, que muestra el espíritu innovador de principios del siglo XX.El Palacio de Bellas Artes no se trata sólo de su impresionante arquitectura; es un santuario para una increíble variedad de arte. Desde pinturas y esculturas hasta fotografía y música, este palacio lo tiene todo. Presenta con orgullo murales de algunos de los artistas legendarios de México, incluidos Diego Rivera, José Clemente Orozco, David Alfaro Siqueiros y Rufino Tamayo. Estos murales son más que solo arte; son narrativas de la vida social y política en el siglo XX, lo que hace del palacio un sitio crucial para comprender el movimiento muralista mexicano y el rico legado artístico del país.Pero ¿por qué es tan importante este lugar? Este recinto ha acogido presentaciones de los artistas más importantes del mundo, así como exposiciones de reconocidos artistas plásticos.¿Quién visitó este magnífico lugar en su día? Atrajo a una multitud diversa, desde artistas y músicos de renombre hasta intelectuales y la élite mexicana, además de gente del público en general. Fue, y sigue siendo, un lugar donde se celebra el arte y la cultura, lo que lo convierte en una visita obligada para cualquier persona interesada en profundizar en las artes y las narrativas históricas de México.Entonces, el recorrido virtual por el Palacio de Bellas Artes fue un viaje revelador a través de uno de los hitos culturales más preciados de México. La combinación de belleza arquitectónica, una extensa colección de arte y su importancia histórica ofrece una exploración inigualable para cualquiera que tenga curiosidad sobre la evolución artística y cultural de México. Este palacio no sólo refleja las ambiciones artísticas y culturales del México de principios del siglo XX, sino que sigue siendo un centro vibrante para las artes, que invita a personas de todo el mundo a experimentar su gloria.",,5,,5 de marzo de 2024,mar de 2024
Gran manera de pasar el tiempo.,"He visitado algunos museos en mi vida joven y no he viajado por toda Europa, África y Asia, pero debo decir que este está a la altura. Francamente, no esperaba que fuera tan increíble, con un personal tan amigable y de fácil acceso. Muy bien de precio. Lo recomiendo.",,5,,27 de febrero de 2024,feb de 2024
Una visita de arte,De los mejores lugares a los que he ido. Sin duda me gusta mucho este lugar. Son hermosas vistas en Bellas Artes y pueden ver arte o comer algo desde el mirador.,,5,,16 de febrero de 2024,dic de 2023
Bastante bien,"Les recomiendo que vayan entre semana, pues los fines hay demasiada gente. Fuera de eso, mi pareja y yo tuvimos una gran experiencia en el Palacio de Bellas Artes y sus alrededores.",,4,"Ciudad de México, México",30 de enero de 2024,nov de 2023
Disfruté de los murales en el segundo piso y la exposición de arquitectura en el tercer piso.,"Si tienes 60 años o más, puedes intentar mostrar tu documento de identidad en la taquilla para conseguir una entrada gratuita. Eso funcionó para nosotros, pero me han dicho que depende del cajero. Tenga en cuenta que no permiten la entrada de botellas de agua al museo. Las exposiciones de arte, en su mayoría modernas, en la primera calle y el segundo piso no nos interesaron mucho, pero al menos las habitaciones eran pequeñas. Los grandes murales en el segundo piso eran muy interesantes, especialmente si escaneabas el código QR en un letrero cercano para obtener explicaciones detalladas de cada mural. El tercer piso fue posiblemente el más interesante para mí ya que tenía fotografías y dibujos históricos de cómo se ha visto el área de la Ciudad de México a lo largo de los años.",,5,"Wichita, KS",25 de enero de 2024,ene de 2024
¡Arquitectura llamativa!,Una gran vista cuando vas al DF. ¡Definitivamente DEBE!La arquitectura es simplemente impresionante en toda la zona.,,5,"Jardín, Colombia",18 de enero de 2024,mar de 2023
MAJESTUOSO,"es majestuoso , el termino"" palacio "" le queda chico es de punta a punta  un espacio hermoso y majestuoso , pensado por y para la cultura en su funcionalidad y disposición, es de lo que no te debes perder en CDMX,",,5,"La Paz, Bolivia",9 de enero de 2024,nov de 2023
El mejor edificio de México,Hola hola.Es la edificación más bonita que tiene la Ciudad de México. Desde que uno está en la zona exterior maravilla los ojos de cualquier visitante y cuando entra ya sabe que uno está dentro de la historia misma con sus pisos y paredes de mármol. Increíble lugar lleno de historia y cultura.,,5,"Ciudad de México, México",28 de diciembre de 2023,dic de 2023
Una cita en las alturas y entre arte ,tenía muchas expectativas de este lugar pero la verdad es que las supero. Lo mejor de todo es que había grandes vistas y linda comida. Les comiendo que vayan con tiempo porque hay mucho por hacer ,,5,,20 de diciembre de 2023,ago de 2023
