Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
¿Civilización de los nativos o insensibilidad e ignorancia de la cultura nativa? ,"El complejo de la iglesia está en el zócalo. A la izquierda está la parte más nueva y a la derecha la parte construida con el material extraído de la destrucción del templo mayor. La construcción a partir del destruido lugar de culto étnico es un tema recurrente en todo el mundo, de las conquistas coloniales.",,3,"Mumbai (Bombay), India",22 de mayo de 2024,may de 2024
Aprendiendo historia,"Aquí hay mucha historia. Sin duda les recomiendo que vayan con cuidado y mucho protector porque siempre hay muchoooo sol en la capital. Pero sin duda, vale la pena cada momento que vas y aprendes de historia mexicana.",,5,"Ciudad de México, México",8 de mayo de 2024,oct de 2023
Me encanta,"Un sitio histórico que nadie se puede perder en su visita  al CDMX, aunque claro que hay que aclarar que casi siempre hay mucha gente por lo mismo. No obstante, vale la pena conocerlo",,4,,7 de mayo de 2024,mar de 2024
agradable,"area muy concurrida, solo las calles que no tienen comercio nocturno estaban muy sucias, algo se puede hacer ahi x beneficio de todos",,5,,30 de abril de 2024,abr de 2024
Una obra maestra arquitectónica,"La Catedral Metropolitana de la Ciudad de México es una obra maestra arquitectónica que deja una impresión duradera en aquellos que tienen el privilegio de visitarla. Con su imponente fachada barroca y sus majestuosas torres, esta joya del patrimonio mexicano es un testimonio de la rica historia y la fe arraigada del país. Unete al walking tour de ""Taste & Time Traveler"" y descubre su interior, que es igualmente impresionante.",,5,"Ciudad de México, México",7 de abril de 2024,abr de 2024
Genial,"Me encanta visitar la Catedral, me parece de las obras arquitectónicas más importantes del país y aunque vayas muchas veces, siempre hay algo nuevo por conocer. Lo único malo es que siempre hay mucha gente, pero para mí vale la pena ir.",,4,,4 de abril de 2024,feb de 2024
Menos que inspirador,"Obviamente es un punto destacado del Barrio Histórico de MC, pero no particularmente de primavera. Afuera hay muchos graffitis y muchos vendedores ambulantes. El interior del lugar era lúgubre y poco inspirador en comparación con muchas otras grandes iglesias mexicanas.",,3,"Devizes, UK",19 de marzo de 2024,mar de 2024
Maravilloso,Visité la impresionante Catedral Metropolitana de la Ciudad de México y quedé maravillado por su majestuosidad. Su arquitectura y arte son testigos de siglos de historia y cultura. ¡Una experiencia que recomiendo a todos los amantes de la belleza y la historia!,,5,,21 de febrero de 2024,feb de 2024
Espectacular,"Siempre es una espectáculo visitar la Catedral, es maravillosa con su arquitectura, sus pinturas, sus figuras. Aun si no eres religioso es un lugar con historia que sorprende. ",,5,"Ciudad de México, México",28 de diciembre de 2023,nov de 2023
Catedral Metropolitana de la Ciudad de México,Es una de las obras más sobresalientes de la arquitectura hispanoamericana.Sus majestuosos retablos y sus impresionantes detalles son algo que no puede dejarse de admirar.,,5,"Ciudad de México, México",25 de diciembre de 2023,dic de 2023
Bellisima,"Qué bella arquitectura tiene este lugar, espero que sigan cuidándola como hasta ahora! Es la cereza del pastel en el zócalo.",,5,,18 de diciembre de 2023,nov de 2023
Algo que debes hacer cuando estés en el Zócalo.,"Gran catedral que vale la pena visitar cuando esté cerca del zócalo, ya que en diciembre de 2023 la puerta principal está cerrada, pero puede ingresar y admirar el hermoso estado del interior a través de las puertas laterales que se abren temprano en la mañana. Recomendado",,5,"Houston, TX",18 de diciembre de 2023,dic de 2023
Divino,"Sin duda es una obra maestra en la arquitectura. Me quedé impresionada por su tamaño, su belleza y su historia.  Espero volver a ir",,4,,13 de diciembre de 2023,oct de 2023
"Las visitas en el.entorno esta lleno de historia, la catedral es.increible y el mismo.entorno, emvuelta de tradiciones. ","El entorno es excelente sobre todo el orden y limpieza, la gente muy calida y tiene mucha tradición e historia este país, recomendable para paseos.",,5,,7 de diciembre de 2023,nov de 2023
Una maravillosa visita a una espectacular Catedral.,"En un viaje a la Ciudad de México para visitar a nuestro hijo, tuvimos que ir al Zócalo. Después de las compras obligatorias en el Mercado, nos dirigimos a la Catedral, que es una iglesia en funcionamiento además de un sitio histórico. Su arquitectura exterior es espectacular, pero luego entra para experimentar la increíble belleza de este monumento. Las fascinantes naves, que dominan tres secciones separadas, están adornadas de forma diferente con oro y arte. También hay un homenaje a la visita del Papa Francisco aquí hace varios años. Esta es una visita obligada en la Ciudad de México.",,5,"Davie, FL",30 de noviembre de 2023,nov de 2023
 ES IMPONENTE," ES IMPONENTE, te hace  sentir pequeño la inmensidad de  este recinto , uno puede llegar a perderse si no pone atención,   los religiosos son muy  accesibles y tolerantes con los turistas (no abusen) el fin de semana se puede ver el coro",,5,"La Paz, Bolivia",28 de noviembre de 2023,nov de 2023
Soberbia.,"Monumental catedral con 109 metros de largo, 59 de ancho y 65 de altura. Presenta diversos estilos arquitectónicos. Se edificó sobre los restos del Templo Mayor, empleando sus piedras. De su interior destacan las 14 capillas profusamente decoradas, la sillería del coro con elaboradas tallas y los enormes paneles. No perderse el Altar del Perdón, el Señor del Veneno (siempre rodeada de fieles) y el Altar de los Reyes. Se puede visitar la sacristía mayor, la cripta y subir al campanario.",,5,"Madrid, España",15 de noviembre de 2023,oct de 2023
Joya del centro de la ciudad,Esta catedral es lo más destacado de la enorme plaza del zócalo. Este vasto edificio es la iglesia más grande de Centroamérica y se ha ido ampliando a lo largo de los años. El ornamentado altar de oro rezuma extravagancia española.,,5,"Nottingham, UK",12 de noviembre de 2023,nov de 2023
Un tesoro de México,"Es una joya en el corazón de la Ciudad de México, es muy bonita por dentro, seas de la religión o no, vale la pena visitar.  ",,5,,10 de octubre de 2023,jun de 2023
Catedral,"La arquitectura es fascinante, sean creyentes o no, debe visitarse. Las calles a los alrededores también están llenos de vida. ",,5,,6 de octubre de 2023,sept de 2023
Increíble catedral histórica,Catedral histórica con un interior increíble. La catedral estaba protegida por una valla de acero ya que había una protección el día que estuvimos allí. Elogios al gobierno por proteger la historia y los edificios del daño potencial de los manifestantes.,,4,Canadá,4 de octubre de 2023,sept de 2023
algo para experimentar,Pasear por la catedral es una experiencia que no se puede captar en fotografías. Es una institución funcional con masa viva por lo que el respeto es primordial. Tómese el tiempo para ver las numerosas estructuras y detalles: ¡increíble!,,5,Jamaica,27 de septiembre de 2023,sept de 2023
¡La Cripta de los Arzobispos estuvo genial!,"Mi esposa y yo visitamos La Cripta de los Arzobispos el 14 de agosto de 2023. Muy genial. Literalmente. Después de ingresar a la catedral, vaya a donde están los órganos musicales y debería haber un guía al lado que vende boletos para el recorrido programado. Nuestra guía fue Alexia y ella fue fabulosa.",,5,"Alexandria, Virginia",26 de agosto de 2023,ago de 2023
Impresionante Catedral del siglo XVI,"Esta es una experiencia imperdible y es gratis. Los orígenes de la iglesia se remontan a los tiempos de Cortés y se ha expandido a través de los siglos. El exterior exhibe el exclusivo estilo arquitectónico chiguresco mexicano, mientras que el interior también es muy impresionante. De mayor interés es el altar de pan de oro y el coro y dos grandes órganos.",,5,Florida,15 de agosto de 2023,ago de 2023
"Visita corta, prescindible","He visto templos católicos mucho más interesantes. Si estás de paso, recomiendo observar su elaborado exterior. Si no, no te desvíes.",,3,"Las Palmas de Gran Canaria, España",28 de julio de 2023,ago de 2022
LAMENTABLE LA POCA EMPATÍA DEL PERSONAL EN UN LUGAR SAGRADO,"Me encantó la Catedral pero no el mal servicio y poca empat;ia del personal que trabaja allí. En particular un encargado de la tienda de souvenir. Se trata de un caballero delgado, relativamente alto de estatura. Es imperdonable que en un lugar SAGRADO trabajen personas cono esa. Expuse mi queja a otra persona y obviamente somuló que hizo una llamada a un cierto gerente con el que deseaba conversar, Esaa persona nunca llegó ya que la dama SIMULÓ la llamada. UNA PENA.......",,3,,20 de julio de 2023,jul de 2023
El más grande y el más antiguo de América Latina. ¡Oh mi!,"Una UNIDAD absoluta de una catedral.Supuestamente el más grande y antiguo de Latinoamérica, hay que verlo para creerlo. Es uno de esos lugares en los que no puedes pensar en cómo lo hicieron y cómo resultó en algo tan hermoso.Tienen guías que te cuentan muchos detalles interesantes sobre los diferentes lugares de la iglesia e incluso puedes pasar a la clandestinidad. Muy recomendable, ya que este lugar tiene MUCHA historia. Es dinero bien gastado",,5,"Santo Domingo, República Dominicana",12 de junio de 2023,mar de 2023
Haz el tour -- Catedral Metropolitana,"Este es un sitio de visita obligada. Un aspecto que destacó en esta ocasión fue el recorrido que ofreció el personal de la Catedral. El recorrido cubre el coro y los guiones. Es muy interesante y no tan largo. ¡Nuestra guía turística Gloria fue excelente! Compartió información valiosa como la historia del edificio, pinturas, órgano, etc. El recorrido por las criptas fue muy interesante y compartió algunas historias de fantasmas (leyendas). El costo es de $ 100 . 00 pesos por persona. ¡Vale la pena!",,5,"Tijuana, México",2 de junio de 2023,may de 2023
catedral metropolitana,"Caminamos por la catedral, que era hermosa pero el arte necesita limpieza. Fue interesante ver cómo se hunde la catedral. Asegúrese de ver el péndulo que marca el movimiento durante los últimos cientos de años. Está en la isla central cerca del frente de la iglesia. La misa del domingo comienza a las 08:00 y es cada hora después, también hay misa el sábado a las 5:00 p. m.",,4,"Jacksonville, FL",12 de mayo de 2023,may de 2023
Debe ver el sitio en México,La Catedral es un sitio de visita obligada en México. Tiene entrada libre y abierto hasta las 5 . 30 p. m. Vale la pena ver el lugar un lugar de arte y mano de obra.,,5,"Chennai (Madras), India",7 de abril de 2023,mar de 2023
¡Gigante y hermoso!,"Esta es una catedral enorme y hermosa: su tamaño es difícil de comprender. Mientras estábamos allí, dos misas diferentes estaban ocurriendo en varias alas. Vale la pena los pesos extra para recorrer el coro, aunque su exterior (no su interior) fue la parte más hermosa de la catedral. Todavía quedan templos aztecas debajo de los cimientos.",,5,"Puerto Vallarta, México",6 de abril de 2023,mar de 2023
Datos de la Catedral Metropolitana de la CDMX ( tiene otros nombres ),Sede de la Arquidiócesis Primada de México y en 1987 es nombrada Patrimonio de la humanidad.Tiene 5 estilos diferentes,,5,"Ciudad de México, México",15 de marzo de 2023,feb de 2023
se ve majestuoso,"La Catedral de la Asunción de la Santísima Virgen María está ubicada en el corazón de la capital de México. Es una de las catedrales más grandes y antiguas de la América colonial. Se ve majestuoso, los arquitectos combinaron hábilmente varias tendencias arquitectónicas: barroco, renacentista y neoclásico. En el sitio de la Catedral había otro templo, en honor al dios azteca del sol y la guerra. Pero vinieron los camaradas de los conquistadores. El templo fue desmantelado. Y luego se construyó uno nuevo de sus ""huesos"" (es decir, piedras) y sobre sus ""huesos"" (es decir, en el sitio del antiguo templo). Ahora la Catedral luce majestuosa, guarda una interesante historia, su imponente y grandiosidad no dejará indiferente a ningún turista.",,5,"Tallin, Estonia",12 de marzo de 2023,mar de 2023
hermosa,"bonita, en pleno centro, es parte de los edificios icónicos del sector, vale la pena visitarla con tranquilidad y ver cada rincón",,4,"Santiago, Chile",7 de marzo de 2023,mar de 2023
Bonito,"Está muy linda, me encantó visitarla con mi familia, además venden recuerditos muy lindos que te puedes comprar por un bajo costo.",,4,"Lima, Perú",7 de marzo de 2023,nov de 2022
Visita increíble - No se lo puede perder,"Esta histórica Catedral no se la puede perder. Hay una renovación en curso, pero no impidió la belleza de esta increíble estructura. El altar de los Reyes te dejará sin aliento. Podría mirar la belleza durante horas. La ubicación de la Catedral es una gran ventaja, se encuentra en la plaza del Zócalo, en el corazón del centro histórico de la ciudad.",,5,"Wichita, KS",24 de enero de 2023,ene de 2023
En restauración,"Cuando llegamos a la plaza de Zócalo,  nos  sorprendimos al ver un sitio tan multicultural, sobre todo los chamanes, con sus rituales. Es una pena, por que la catedral esta apuntalada con andamios, para ser restaurada, como mucha catedrales, se han  ido ampliando en décadas, desde 1570 hasta 1813,  son reformas para mejorar su aspecto. Por dentro es bonita, arcos labrados en piedra, y la luz que entra por su cúpula, la entrada es gratuita, y no hay mucho aforo. Es un sitio para visitar muy recomendable.",,5,"Palma de Mallorca, España",23 de enero de 2023,dic de 2022
Gran Sitio Religioso,"La iglesia está en proceso de renovación, por lo que no estoy seguro de lo que implicaría el acceso completo, pero la iglesia es una excelente parada para rezar o admirar el buen mobiliario. También hay una pequeña tienda de regalos para comprar recuerdos. Disfruté de mi visita viendo los artefactos religiosos que están disponibles para ver durante las renovaciones.",,5,"Chicago, IL",14 de enero de 2023,ene de 2023
Imperdible de la CDMX ,"En esta época del año el centro de la xiudad de México es espectacular, vale mucho la.pena y tratar de comer en un lugar cercano es una gran opción para los amigos qué nos visitan",,5,"Ciudad de México, México",20 de diciembre de 2022,dic de 2022
Impresionante edificio (ahora en restauración),"Impresionante edificio tanto en su exterior como en su interior, ocupando uno de los lados de la plaza de la Constitución. Con la inestabilidad del suelo en México y los frecuentes terremotos, requiere de obras de restauración por lo que actualmente está cubierta por andamios. Aún así sigue siendo un edificio impresionante.",,5,Leioa,18 de diciembre de 2022,nov de 2022
enorme iglesia,"Es una iglesia enorme (la más grande de México) ubicada en la plaza Zócalo. Construido sobre ruinas aztecas por los conquistadores. Es una iglesia mezcla ritmo - cultura. Dentro hay una obra de arte. Está abierto todo el día todos los días, pero la hora de la mañana es el mejor momento para visitar. Si es el momento de la ceremonia es el momento más mejor.",,5,"Kamari, Grecia",18 de diciembre de 2022,abr de 2022
Preciosa catedral,Los mexicanos son muy religiosos y creo que es importantísimo para entender su cultura ver esta catedral y la basílica de Guadalupe. De hecho me impresiono mucho el cuadro dentro del retablo que mostraba circuncisión de cristo dentro de una iglesia,,4,"Maspalomas, España",16 de noviembre de 2022,nov de 2022
Catedral Católica,"Esta es una catedral maravillosa y una de las iglesias más grandes del mundo. Es un lugar maravilloso y tranquilo para visitar. Pude asistir a misa aquí durante una visita entre semana. Para cualquier persona de fe que desee ver una catedral de importancia cultural, visítela en cualquier momento durante el día, pero las mañanas están menos ocupadas.",,5,"Twentynine Palms, CA",8 de agosto de 2022,jul de 2022
Excelente,"He tenido la oportunidad de viajar en varias ocasiones a la Cd. de México, pero en esta última ocasión que lo hice tuve la oportunidad de entrar a la Catedral Metropolitana por primera vez. Es un lugar maravilloso que todo católico  que tenga la oportunidad de viajar a ciudad de México debe conocer.",,5,,5 de agosto de 2022,jul de 2022
Difícil tal vez,"Este lugar es increíble, si te gustan las iglesias. Es gigantesco y ha estado lleno de actividad cada vez que lo he visitado. Se requieren máscaras y quitarse los sombreros/gafas de sol. Algunos lugares dicen que no hay fotografía con flash, pero creo que quieren decir NO fotografía, por lo que es un poco confuso.Se tarda 10 minutos o menos en pasar rápidamente si lo hace rápido. También puedes pasar mucho más tiempo allí, ya que creo que hay lugares para sentarse para el público en general.",,4,,31 de julio de 2022,may de 2022
Órgano asombroso,Fantástica historia allí en la catedral. Es un edificio maravilloso y muy ornamentado. Intenta ir cuando estén haciendo misa para que puedas escuchar el órgano.,,5,"Plano, TX",16 de julio de 2022,mar de 2022
impresionante catedral,Nuestro hotel estaba ubicado en el Zócalo Central justo al lado de la Catedral. Arquitectura realmente increíble y una visita obligada si estás en la zona. Desayunamos todas las mañanas en el restaurante de nuestro hotel en la azotea con una vista espectacular del amanecer sobre la Catedral. ¡Recomiendo encarecidamente echarle un vistazo!,,5,"Bath, ME",7 de julio de 2022,may de 2022
Imponente,"Es uno de los lugares más hermosos que un Católico pueda conocer, vale toda la pena entrar a ella, encontrará mucha cultura",,5,"Bogotá, Colombia",28 de junio de 2022,jun de 2022
"Bello edificio, lamentablemente con muchos ambulantes","Siendo un lugar histórico, debería tener un mayor control de vendedores ambulantes, esta con mucha basura y puestos por todos lado, da mal aspecto a un sitio tan emblemático.",,3,,14 de junio de 2022,jun de 2022
Tan hermoso como cualquiera en Europa,Fuimos aquí en nuestro recorrido privado en lugar de Guadalupe. Es grandioso y hermoso y vale la pena verlo. También la plaza que lo rodea es un espectáculo.,,5,"Jacksonville, FL",30 de mayo de 2022,may de 2022
Hermoso lugar para visitar,"Hermosa catedral en el corazón del Zócalo de la Ciudad de México.Había restringido algunas áreas de acceso debido al covid, pero sigue siendo un hermoso lugar para visitar.También es de entrada gratuita para todos, por lo que es una visita obligada en la Ciudad de México.",,5,Reino Unido,28 de febrero de 2022,feb de 2022
enorme catedral,No muy diferente de muchos en América del Sur. Lleno de oro y extravagancia.No hay acceso a muchas áreas debido a las restricciones de COVID.,,3,"Perth, UK",25 de febrero de 2022,feb de 2022
Impresionante interior Historia asombrosa,"La entrada a la catedral es gratuita, pero puedes pagar un poco si deseas ver la sacristía y sus fabulosas pinturas. Visitamos la Catedral y deambulamos viendo las numerosas capillas laterales, pero para experimentar la catedral en acción, debes asistir a una misa. Asistimos a las 12 del mediodía del domingo. La misa fue celebrada por el arzobispo y pudimos escuchar uno de los dos grandes órganos de tubos del edificio. El llamado King High Alter es una maravilla para la vista. Recomiendo encarecidamente una visita a esta iglesia.",,4,"Vancouver, Canadá",20 de febrero de 2022,feb de 2022
Obligatorioa,"Un lugar tradicional, clásico y bonito, el centro de Mexico esta bien cuidado y hay unos buenos restaurants",,5,"Bogotá, Colombia",17 de febrero de 2022,dic de 2021
Bonita,"Al estar con una buena ubicación no pasa desapercibida al visitante, y es un lugar que no pueden dejar de visitar, historia, y arquitectura muy linda.",,4,"Puntarenas, Costa Rica",31 de enero de 2022,ene de 2022
"¡Guau! ¡Sí, esto es grandioso!","Verdaderamente asombroso. Enorme. Realmente enorme teniendo en cuenta cuándo y dónde se construyó. Y muy, muy adornado. . . . ¡dentro y fuera! Realmente, no hay nada que pueda prepararte para lo abrumador que es este lugar (no, no soy católico). Si no has visto la catedral, no has visto la Ciudad de México.",,5,"Albuquerque, Nuevo Mexico",23 de enero de 2022,ene de 2022
Estoy asombrado !,"Reservé mi hotel al lado de la catedral. El desayuno cada mañana fue una vista impresionante para mí. El enorme tamaño de esta catedral era un espectáculo digno de ver. Tuve la oportunidad de escuchar misa el primer día que llegué a la Ciudad de México. Estoy asombrado con la espectacular grandeza de esta catedral. Tienes que detenerte y asimilarlo todo porque realmente es algo que no puedes ver de pasada. Para ingresar a la catedral, solo tiene una entrada, con desinfectante automático disponible. Muchas personas religiosas rezan en silencio y, por supuesto, los viajeros cansados toman fotografías del impresionante altar. Estoy agradecido de visitar este lugar. Los viajeros deben incluir esto en su visita obligada en la Ciudad de México.",,5,Estados Unidos,16 de enero de 2022,dic de 2021
No es una catedral impresionante.,"La catedral no es muy impresionante y no hay mucho que ver. Tienes que pagar para entrar al área con el órgano, que tampoco vale la pena. La sección del altar está completamente cerrada a menos que estés con la congregación. Me sentí como si nos estuvieran sacando.",,3,"Gloucester, UK",4 de enero de 2022,dic de 2021
Maravilloso,Maravillosa iglesia y hermoso edificio con mucha historia que abarca la época colonial y precolonial. Lugar agradable,,5,"Bogotá, Colombia",28 de diciembre de 2021,dic de 2021
Grande,y poco más... imprescindible visitarla si estás en el zócalo pero no destaca por su belleza aunque sí por su magnificencia,,3,"A Coruña, España",14 de noviembre de 2021,nov de 2021
Debes ver,"Esta es la catedral principal de la ciudad frente al Zócalo. Si bien la fachada es impresionante, el altar mayor en el interior es simplemente impresionante. Un sitio de visita obligada.",,5,"Miami Beach, FL",11 de noviembre de 2021,oct de 2021
Debes verlo,"Una catedral de visita obligada durante su visita a la Ciudad de México; La ubicación es céntrica, por lo que no se puede perder. Muchos restaurantes y cafeterías alrededor.",,5,"Chicago, IL",26 de octubre de 2021,oct de 2021
hermoso,"Ya comente antes que para los amantes del catolicismo muy recomendado, es hermoso lleno de espiritualidad",,5,,18 de octubre de 2021,oct de 2021
"Impresionante, pero no apto para turistas.","Impresionante lugar de culto. Lamentablemente, nada en inglés.No se acerca en esplendor a la Sagrada Familia de Barcelona, Notre Damme, la calle Peter, las iglesias de Roma o la basílica de Lourdes. Aún así, debe visitar en el Centro Histórico.",,4,"Savannah, GA",9 de septiembre de 2021,sept de 2021
¡Imprescindible si estás en la zona y es gratis!,"Permítanme comenzar esto con el hecho de que no soy católico ni religioso. Entonces, aquellos con vínculos con eso pueden apreciar esto más. Sin embargo, me gusta la arquitectura y las ruinas recién descubiertas de los alrededores.La entrada es absolutamente gratuita (todavía está abierta durante las restricciones de CoVid recientemente, pero se deben usar máscaras y se le tomará la temperatura).Por una tarifa adicional al salir cada 30 minutos, hacen recorridos DEBAJO de la Catedral hasta la cripta. Es un poco loco lo grande que es debajo y lo 'Nuevo' que se ve. Si no hablas / entiendes español, aunque la gira no será tan interesante, no lo creo. Aunque sigue siendo interesante :)",,3,,15 de agosto de 2021,ago de 2021
Abierta a pesar de la pandemia,"Si estás en la Ciudad de México no debes perderte la visita de esta gran catedral. A esar de la pandemia, está abierta al público.",,4,"Madrid, España",3 de agosto de 2021,jul de 2021
Hermosa catedral,La Catedral Metropolitana es la catedral más grande y antigua de América Latina. Absolutamente increíble arquitectura con tanta historia.,,5,"Wilmington, Carolina del Norte",27 de julio de 2021,jul de 2021
Encantador,Realmente disfruté viendo este sitio icónico. Yo estaba aún más fascinado con el Bob que muestra cómo se hunde el suelo en la plaza.,,5,"Boise, ID",6 de julio de 2021,nov de 2020
Un imponente lugar para visitar,"En nuestro viaje a USA, hicimos una escala de diez horas en México DF, asi que aprovechamos el tiempo disponible para salir del aeropuerto y realizar nuestra infaltable visita a la Basílica de Guadalupe (por 3ra vez), una vez hecho esto un taxi Uber por 60 pesos nos llevo al Centro de la Ciudad, allí hicimos aquello que en nuestras dos visitas no pudimos lograr, ingresar a visitar y conocer la Catedral Metropolitana.Una muy interesante y bella visita a la historia cultural y religiosa de México, en ella resalta la existencia de 3 hermosos altares cubiertos en pan de oro y con pinturas y esculturas hermosísimas, que dan una idea de la majestuosidad del fervor religioso de nuestros antepasados hispanoamericanos.Este Templo esta construido sobre lo que serian edificaciones aztecas y cuenta con un Órgano de tubos realmente inmenso (escuche decir que era el mas grande del mundo) y ocupa gran parte de la zona central de la Iglesia.El recorrido es de aproximadamente una hora y en el exterior hay guías que por una módica propina hacen el recorrido relatando las historias, anécdotas, leyendas y ""secretos"" que este Templo guarda en su interior.El ingreso es gratuito pero, por estar viviendo actualmente una situación de la pandemia del Covid 19 el ingreso (aforo) es limitado, por lo que se debe esperar turno para entrar (esto bajo el inclemente sol, por lo que recomiendo llevar gorra o sobrilla, pues no hay sitios para guarnecerse). Un detalle, Rossmary y yo debimos hacer el recorrido por separado pues no nos dejaban ingresar con las mochilas de viaje, igual que nosotros habían dos jóvenes japoneses parados en la reja exterior cuidando una gran cantidad de bolsos de viaje y mochilas de sus amigos... La Visita a la Catedral Metropolitana es imperdible, vale la pena darse una vuelta por allí y seguro lo disfrutaras.",,5,"Lima, Perú",18 de junio de 2021,jun de 2021
